x,y
1.540221667,4.012765884
1.543555556,4.024576664
1.546889167,4.038356304
1.550223056,4.046230316
1.553556944,4.056072712
1.556890556,4.069851875
1.560224444,4.077726364
1.563558056,4.090521336
1.566891944,4.102332115
1.570225556,4.113158703
1.573559444,4.121032715
1.576893056,4.130875111
1.580226944,4.144654751
1.583560556,4.155481339
1.586894444,4.166308403
1.590228056,4.176150799
1.593561944,4.183040142
1.596895556,4.199772358
1.600229444,4.208630562
1.603563056,4.220441818
1.606896944,4.22634697
1.610230556,4.237173557
1.613564444,4.248984814
1.616898056,4.262763977
1.620231944,4.271622181
1.623565556,4.282448769
1.626899444,4.293275356
1.630233056,4.30902338
1.633566944,4.315913677
1.636900556,4.328708649
1.640234444,4.338551044
1.643568056,4.346425056
1.646901944,4.361188889
1.650235556,4.369062424
1.653569444,4.375952244
1.656903056,4.39268446
1.660236944,4.401542664
1.663570556,4.417290211
1.666904444,4.4251647
1.670238056,4.435991287
1.673571944,4.445833206
1.676905556,4.456660271
1.680239444,4.468471527
1.683573056,4.481266499
1.686906944,4.48717165
1.690240556,4.506856918
1.693574444,4.51473093
1.696908056,4.527525902
1.700241944,4.54032135
1.703575556,4.551147938
1.706909444,4.55902195
1.710243056,4.570832729
1.713576944,4.582643986
1.716910556,4.590517521
1.720244444,4.606265545
1.723578056,4.619060516
1.726911944,4.621029377
1.730245556,4.64169836
1.733579444,4.654493809
1.736913056,4.662367344
1.740246944,4.6741786
1.743580556,4.683036804
1.746914167,4.700753212
1.750248056,4.70665884
1.753581667,4.721421719
1.756915556,4.733232975
1.760249167,4.741106987
1.763583056,4.754886627
1.766916667,4.770634174
1.770250556,4.780477047
1.773584167,4.788351059
1.776918056,4.803114414
1.780251667,4.816893578
1.783585556,4.822799206
1.786919167,4.836578369
1.790253056,4.849373817
1.793586667,4.862168789
1.796920556,4.87102747
1.800254167,4.88480711
1.803588056,4.896617889
1.806921667,4.906460285
1.810255556,4.920239925
1.813589167,4.934019089
1.816923056,4.945830345
1.820256667,4.95370388
1.823590556,4.962562084
1.826924167,4.976341248
1.830258056,4.98618412
1.833591667,5.000947475
1.836925556,5.013742924
1.840259167,5.025553703
1.843593056,5.036380291
1.846926667,5.051144123
1.850260556,5.060986519
1.853594167,5.076734543
1.856928056,5.088545799
1.860261667,5.100356102
1.863595278,5.114136219
1.866929167,5.128899097
1.870262778,5.139726639
1.873596667,5.152521133
1.876930278,5.162364006
1.880264167,5.176143646
1.883597778,5.18696928
1.886931667,5.202717781
1.890265278,5.214529037
1.893599167,5.229292393
1.896932778,5.239134789
1.900266667,5.251930237
1.903600278,5.259803772
1.906934167,5.275551796
1.910267778,5.283426285
1.913601667,5.304094791
1.916935278,5.315906048
1.920269167,5.330669403
1.923602778,5.339528561
1.926936667,5.350354671
1.930270278,5.363149643
1.933604167,5.374960899
1.936937778,5.388740063
1.940271389,5.402519226
1.943605278,5.411377907
1.946938889,5.426141262
1.950272778,5.436968327
1.953606389,5.451731682
1.956940278,5.460589409
1.960273889,5.471416473
1.963607778,5.488149166
1.966941389,5.505865574
1.970275278,5.514723301
1.973608889,5.528502941
1.976942778,5.541297913
1.980276389,5.553109169
1.983610278,5.562951565
1.986943889,5.57771492
1.9902775,5.586573124
1.993611389,5.600353241
1.996945,5.619053364
2.000278889,5.625942707
2.0036125,5.637753963
