Gene_ID,Raw_FPKM,H3K4me3_signal_bin25,H3K27me3_signal_bin21
Eucgr.B00258,0,-14.508,-6.59811
Eucgr.B00271,0,-12.1712,-14.3967
Eucgr.B00291,0,83.6254,-6.66811
Eucgr.B00295,0,26.5613,-10.3049
Eucgr.B00301,0,16.2691,35.345
Eucgr.B00307,0,-10.1735,72.7908
Eucgr.B00323,0,-13.7341,-9.92811
Eucgr.B00360,0,-14.2841,39.1934
Eucgr.B00363,0,-18.5333,24.0053
Eucgr.B00379,0,8.21406,0.0118893
Eucgr.B00414,0,-6.46406,-3.02764
Eucgr.B00420,0,62.5693,83.0528
Eucgr.B00426,0,39.7865,43.2348
Eucgr.B00437,0,17.0147,45.8075
Eucgr.B00453,0,-14.508,-11.1081
Eucgr.B00475,0,-16.336,3.91835
Eucgr.B00476,0,20.085,-0.868109
Eucgr.B00477,0,-14.508,-9.95811
Eucgr.B00484,0,-10.3245,-4.0539
Eucgr.B00486,0,-12.8137,-5.33811
Eucgr.B00496,0,22.1036,4.6219
Eucgr.B00500,0,-6.21894,-2.75427
Eucgr.B00517,0,-11.977,-20.5023
Eucgr.B00524,0,1.49364,2.56349
Eucgr.B00526,0,31.4482,12.9819
Eucgr.B00535,0,-14.1524,43.7919
Eucgr.B00557,0,-6.17912,-10.1752
Eucgr.B00559,0,-3.20194,124.459
Eucgr.B00574,0,2.05585,-7.64811
Eucgr.B00578,0,-14.5988,31.3277
Eucgr.B00579,0,-14.0254,33.2003
Eucgr.B00584,0,-9.78565,-6.86812
Eucgr.B00591,0,-19.0489,-19.1648
Eucgr.B00601,0,0.840815,-2.28811
Eucgr.B00608,0,-8.4123,-1.05785
Eucgr.B00630,0,13.5728,15.0619
Eucgr.B00633,0,12.1864,-5.46017
Eucgr.B00641,0,16.6097,3.17703
Eucgr.B00652,0,87.6685,62.672
Eucgr.B00663,0,41.0167,82.8588
Eucgr.B00666,0,84.6452,56.1717
Eucgr.B00687,0,-1.14777,-2.64811
Eucgr.B00698,0,3.38519,-5.02279
Eucgr.B00699,0,-5.76922,47.8788
Eucgr.B00709,0,23.0432,64.8985
Eucgr.B00724,0,18.0204,27.8344
Eucgr.B00726,0,25.1098,63.4646
Eucgr.B00728,0,46.2726,64.7478
Eucgr.B00742,0,-5.0734,111.548
Eucgr.B00790,0,-25.2721,-4.85811
Eucgr.B00827,0,-9.1803,-5.46811
Eucgr.B00831,0,16.0543,50.7488
Eucgr.B00832,0,-26.0342,-6.44811
Eucgr.B00835,0,-4.04924,-1.96811
Eucgr.B00836,0,-13.9641,12.3419
Eucgr.B00840,0,44.6626,20.8468
Eucgr.B00844,0,12.1586,6.41173
